,used to sing to me when I was young.,
,,
,It's quite a terrible song,
,"about a mother having to kill her baby,",
,,
,but I always found it so comforting.,
,,
,I heard her voice,
,several times over the years.,
,,
,"She told me I was born with a hex,",
,"and that if I stayed in Iceland,",
,,
,"bad things would happen to me,",
,and to the people that I loved.,
,,
,"And then my mother died, and...",
,,
,And I believed it was my fault.,
,,
Sun,"My mother died when I was young, too.",
,,
,I had no voice telling me,
,"that I was hexed,",
,,
,but I still believed,
,somehow it was my fault.,
,,
Riley,"Oh, I want to go home. (sighs)",
,,
,I want to see my father.,
,,
Sun,You should go.,
,,
Riley,I'm afraid.,
,,
Sun,Don't be.,
,,
,"Right now, you're safer there",
,than where you are.,
,,
,"Tomorrow, I go to prison.",
,,
Riley,Are you afraid?,
,,
,Don't be.,
,,
Sun,Why?,
,,
Riley,Because you're safer there,
,than where you were.,
,,1
Neets,Mm... Mm!,
,,
,What was that for?,
,,
Nomi,I don't know.,
,,
,Just felt like something,
,I needed to do.,
,,
Neets,I like that.,
,,1
Mi-Cha,My child.,
,,
,So beautiful and strong.,
,,
,I'll always love you.,
,,
,"Remember to be careful, child.",
,,
,"They are afraid of you,",
,and they will hurt you if they find out.,
,,
Sun,Find out?,
,,
Angelica,What you are.,
,,
Sun,What am I?,
,,
Angelica,(whispers) The future.,
,,
,,
,,
,,
,www.tvsubtitles.net,
